,CorporateIdentityNumber,NameOfTheCompany,Sector,NetWorth_DCYMain,SpecificCommitmentsGoalsAndTargetsSetByTheEntityWithDefinedTimelinesExplanatoryTextBlock,PerformanceOfTheEntityAgainstTheSpecificCommitmentsGoalsAndTargetsAlongWithReasonsInCaseTheSameAreNotMetExplanatoryTextBlock,StatementByDirectorResponsibleForTheBusinessResponsibilityReportHighlightingESGRelatedChallengesTargetsAndAchievementsExplanatoryTextBlock,DetailsOfTheHighestAuthorityResponsibleForImplementationAndOversightOfTheBusinessResponsibilityPolicyExplanatoryTextBlock
367,L24230GJ1995PLC025878,Zydus Lifesciences Limited,Manufacturing,157165000000.0,"Following are the sustainability commitments of the company for standalone operations:
a)Gender diversity of 12% by FY2026.
b)Carbon neutrality in operations (scope 1 and 2 emissions) by FY2035
c)Net Water Neutrality by FY2028
d)Waste disposal via coprocessing up 40% for India operations by FY2026
e)45% reduction in GHG Intensity reduction by FY2030 with baseline of FY21-22 aligned with Intended National Determined Contributions (INDC) by Govt. of India","Performance against goals in FY 2024 for standalone operations are as follows:
(a)Gender Diversity of 6% in FY2024
(b)29% renewable energy in total energy mix
(c)16% reduction specific water consumption
(d)29% waste disposal via co processing
(e)30% reduction in GHG Intensity achieved w.r.t the baseline",Please refer Chairman message from the company’s annual report of FY2024.,Chairman
368,L27204RJ1966PLC001208,Hindustan Zinc Limited,Manufacturing,151949732255.0,"Hindustan Zinc Limited is built on inherently sustainable principles. We believe in driving long-term sustainable economic development and value creation for our stakeholders by protecting the health and safety of our people and community, minimising the environmental impact of our operations, respecting human rights and sharing benefits with the community. We have taken a holistic view in setting our sustainability goals for 2025, aligning them with UN Sustainable Development Goals. Following a formal materiality analysis process and extensive internal and external stakeholder dialogue in 2020, we identified 8 high priority material issues and subsequently set ambitious sustainability goals for 2025 as mentioned below:

Sustainability Goals 2025*
Goal 1:
o	Achieving Net-Zero Emissions by 2050 or sooner 
o	0.5 mn tCO2e GHG emission savings in our operations by 2025 
o	Reduction in non-GHG emission (SOx and NOx emission) by 17% by 2025 
Goal 2: 
o	Become 5x water-positive Company and achieve 25% reduction in freshwater by 2025 
o	Complete transition from wet tailing to dry tailing disposal by 2025 
Goal 3: 
o	3x Increase in gainful utilisation of smelting process waste by 2025
Goal 4: 
o	Positively impacting 1 million lives through social, economic and environmental initiatives by 2025 
Goal 5: 
o	Protect and enhance biodiversity throughout the life cycle 
o	1 million Plantation drive by 2025 
Goal 6: 
o	Inclusive and diverse workplace with 30% diversity by 2025 
Goal 7:
o	Zero work-related fatalities
o	50% reduction in Total Recordable Injury Frequency Rate (TRIFR) by 2025 
Goal 8: 
o	100% Responsible Sourcing in the supply chain by 2025","Goals	Action Taken	Performance KPI’s	Status

Goal 1


o	Achieving Net-Zero Emissions by 2050 or sooner 
o	0.5 mn tCO2e GHG emission savings in our operations by 2025 
Reduction in non-GHG emission (SOx and NOx emission) by 17% by 2025	•	PDA signed for 450 MW renewable energy 
•	100% RE power consumption at Pantnagar Metal Plant 
•	Use of biomass in power plants 
•	Energy-efficiency programmes/ISO 50001 certification 
•	Switching to electric mobility 
•	Alternate fuel use for transportation	
•	0.40 mn tCO2e GHG emission savings

•	 14.34% emission intensity decrease from FY2019-20	



On Track

Goal 2


o	Become 5x water-positive Company and achieve 25% reduction in freshwater by 2025 
o	Complete transition from wet tailing to dry tailing disposal by 2025 
	• Utilisation of STP-treated water 
• Maintaining zero discharge across sites 
• Water recycling through integrated wastewater treatment facilities •ETP/RO/MEE/MVR plants 
• Dry tailing plant 
• Rainwater harvesting 
• Water risk assessment	
•	8.67% reduction in freshwater withdrawal from FY2019-20 

	



On Track

Goal 3
o	3x Increase in gainful utilisation of smelting process waste by 2025
	
•100% utilisation of Jarosite in Cement from Debari Zinc Smelter 
• Jarofix utilisation in road construction 
• Metal recovery from waste	•	100% fly ash usage 
•	1.67x increase in gainful
utilisation of smelting
process waste
(2.55 lacs MT (jarosite & jarofix) utilisation in FY23-24)
•		

On Track

Goal 4

o	Positively impacting 1 million lives through social, economic and environmental initiatives by 2025 
	• Outreach 3,685 villages; ~1.91 million beneficiaries through sustained CSR initiatives 
• Enhancing the local economy by sustainable livelihood practices 
• Improving quality of life of communities including the lifecycle approach in education sphere and developing model villages 
• Promoting community-led microenterprises	


•	1.91 million lives impacted	


Achieved

Goal 5

o	Protect and enhance biodiversity throughout the life cycle 
o	1 million Plantation drive by 2025 
	• Three years engagement with IUCN 
o Integrated Biodiversity Assessment Tool (IBAT) report
o Ecosystem service review 
o Biodiversity assessment 
• Miyawaki afforestation 
• Restoration of Jarofix Yard 
• 1 million plantation drive 
• Wildlife conservation plan	


•	0.67 million trees planted as part of commitment to plant 1 million trees by 2025, 1.22 lacs planted during the year	


Continuous

Goal 6


o	Inclusive and diverse workplace with 30% diversity by 2025 
	• Improving Diversity - Gender, sexual orientation, specially abled, regional diversity - Transgenders onboarded in front end role (16 nos.) 
• Sensitisation workshop for Diversity and Inclusion  
• Rolled out various women professional development programmes 
• Effective employee engagement programme	


•	Gender diversity increased from 14.4% in FY2019-20 to 21.7% 
	



Continuous


Goal 7
o	Zero work-related fatalities
o	50% reduction in Total Recordable Injury Frequency Rate (TRIFR) by 2025 
	• Critical Risk Management/FSIPP (Fatality & Serious Injury Prevention Programme) 
• Community of practice: Structural Integrity 
• Infrastructure and automation
 • Safety governance structure for business partners 
• Elimination of high-risk manual activities 
• Industrial Hygiene Qualitative Exposure assessment and Quantitative Exposure assessment
• Strengthening of emergency preparedness	

•	Zero Fatalities

•	TRIFR decreased by 31% from FY 2019-20	


Continuous


Goal 8

100% Responsible Sourcing in the supply chain by 2025	Incorporated ESG into the commercial process through below initiatives: 
•	ESG questionnaire introduced in Pre-qualification criteria 
•	Rigorous Suppliers due diligence 
•	Standard ESG expectations incorporated the contracts 
•	Incorporated Single use plastic and Modern Slavery Act declaration in RFQ process
•	Incorporating subcontractor approval during RFQ 
•	Launched vendor grievance through ROBOS portal 
•	Conducted webinar for ESG, human rights, biodiversity and climate change	•	88% material/services sourced directly from India
•	 73% of total supplier by value (total 309 suppliers) have been assessed by third party for sustainable sourcing and ESG criteria during the year	



On Track","Mr. Arun Misra, CEO & Whole-time Director is responsible for the Business Responsibility and Sustainability Report. Please refer to page 340 of the IR report FY 2023-24 for CEO statement covering ESG risk, challenges, highlights and achievements. 

CEO Statement:

I am pleased to announce the release of Hindustan Zinc’s 3rd Business Responsibility and Sustainability Report, demonstrating our steadfast commitment to Environmental, Social, and Governance (ESG) principles. Throughout our journey, we have recognised sustainability''s pivotal role as a cornerstone of our mission. Over the years, we''ve established a tradition of driving impactful change within our industry and the communities we operate in. Our long-standing determination to progressively work towards the betterment of society and the planet remains unwavering as we persist in our efforts to advance our sustainability and social progress. In alignment with the evolving landscape, we are actively pursuing initiatives geared towards fostering sustainable and resilient business growth for the long-term.

Our dedication to safety is evident in achieving zero fatalities across our operations during the year, underscoring our robust safety culture and adherence to rigorous standards such as critical risk management (CRM). This commitment to safety has been acknowledged with the prestigious British Safety Council International Award.
Hindustan Zinc''s sustainability efforts have garnered international acclaim, with our company ranking first in the S&P Global Corporate Sustainability Assessment and achieving A- ratings for CDP ''Climate Change'' and ''Water'' in the metal and mining sector.

To ensure comprehensive ESG coverage, we have established a structured three-tier framework for sustainability governance. This framework guides our strategic goals, emphasising energy efficiency, carbon footprint reduction, effective water management, biodiversity conservation, and fostering an inclusive work environment.

In alignment with our long-term vision, we are actively transitioning to a low-carbon economy, with a target of achieving Net Zero emissions by 2050. Our initiatives include the deployment of electric vehicles (EVs), zero-liquid discharge plants, renewable energy investments, and proactive water management strategies.

Our Corporate Social Responsibility (CSR) initiatives are aligned with global Sustainable Development Goals (SDGs), focussing on education, livelihoods, environmental conservation, and community engagement. Noteworthy projects include Sakhi program aimed at empowering women, support for farmer producer organisations (FPOs), and initiatives like Zinc Football Academy promoting sports.

Diversity and inclusivity are integral to our ethos, as demonstrated by initiatives like India''s first all-women underground mine rescue team and progressive parenthood policies. We extend our commitment to sustainability across our supply chain with initiatives like ‘Wednesday for Transition’ and sustainable sourcing policies.

At Hindustan Zinc, sustainability is not merely a metric but a strategic imperative that drives our growth trajectory. We remain steadfast in our dedication to environmental stewardship, societal impact, and operational excellence.

Best Regards,
Arun Misra
CEO, Hindustan Zinc & Executive Director, Vedanta","Mr. Arun Misra, CEO & Whole-time Director who is also a member of Board-level Sustainability and ESG Committee is responsible for the implementation and oversight of the Business Responsibility and Sustainability Policy(ies)"
369,L27203OR1981GOI000920,National Aluminium Company Limited,Manufacturing,145716600000.0,"•Annual targets are established at both the Departmental and Unit levels to measure performance in areas such as quality, environment, occupational health and safety (OH&S), and energy.","•Performance is assessed against the specific commitments, goals, and targets as part of the Integrated Management System and Energy Management System to monitor and evaluate achievements.","NALCO is a Schedule ‘A’ Navratna CPSE (Central Public Sector Enterprise) under the Ministry of Mines, Government of India. It is committed to achieving sustainability in terms of Environment, Social, and Governance (ESG) aspects. NALCO acknowledges its role in mitigating the impact of climate change and prioritizes environmental stewardship. As a responsible corporate organization, NALCO is fully conscious of its societal responsibilities. The company places significant emphasis on corporate governance.","Name: Shri Pankaj Kumar Sharma
DIN: 10041341
Designation: Director (Production)
Contact No.: 0674-2300660
Email Id: dirprod@nalcoindia.co.in"
370,L24110TG1990PLC011854,Divi''s Laboratories Limited,Manufacturing,134839164506.0,"The Company has set specific  Sustainability targets, which lays down the key aspects of the sustainability including timelines for the same and yearly EHS (Environment, Health and Safety) targets as detailed below:

Sustainability targets for 2030:
Carbon Footprint
•	Reduce absolute based GHG (Scope-1 & Scope-2 emission by 5%.
•	Reduce intensity based GHG (Scope-1 & Scope-2) emission by 25%.	
Water Conservation
•	Reduce ground water & surface water intake by 30%.
•	Reduce water consumption by 25%.
•	Reduce intensity-based water consumption by 25%.
Energy Conservation
•	Decrease intensity-based energy consumption by 25%.
•	Rely on renewable energy sources to the extent possible, where applicable.	
Waste Management
•	Reduce intensity-based waste disposal by 25%.
•	Reduce plastic waste using for packing.
EHS targets for 2023-24
•	No major fire, explosion, toxic gas leak; No fatality & reportable injury
•	Lost time injury severity (LTIs) rate of not more than 0.3
•	Minimum 15 EHS training hours per employee per year.
We are committed to Science Based Targets initiative (SBTi) for both Near term and Net-Zero targets. Inline to our commitment, we are working on developing targets.","The performance against specific commitments, goals achieved during the year is as follows:
Carbon Footprint
• ~19,000 TCO2e emissions were reduced with the initiatives taken during the reporting period.
Water Conservation
• ~ 1,30,300 KL of water was conserved and ~3,030 KL of water was harvested with the initiatives taken during the reporting period.
Energy Conservation
• ~1,64,900 GJ of energy was conserved with the initiatives taken during the reporting period.	
Waste Management
• ~ 40 MT of plastic waste was reduced.
Achievement of EHS targets in 2023-24
• No major fire, explosion, toxic gas leak, fatality and reportable injuries have occurred during 2023-24.
• Lost time injury severity (LTIs) rate for 2023-24 is 0.03 that is well below the target of 0.3.
• Average training hours per employee for 2023-24 is ~21 Hours.","At Divi’s, Sustainability is fundamental to our business operations. In line with our commitment, we have set sustainability targets for 2030 and signed the Science Based Targets initiative (SBTi) for both Near term and Net-Zero targets.
Dr. S. Devendra Rao, Whole-time Director (Manufacturing)","Dr. S. Devendra Rao
Whole-time Director (Manufacturing)
DIN: 10481393
Email: cs@divislabs.com; Tel: +91 40-66966352"
371,L31402WB1947PLC014919,Exide Industries Limited,Manufacturing,131372410039.0,The Company is committed to conduct business in a sustainable manner. The key targets and progress is available on page 10 - 13 of this Integrated Annual Report 2023-24.,The Company is committed to conduct business in a sustainable manner. The key targets and progress is available on page 10 - 13 of this Integrated Annual Report 2023-24.,"Exide has always been at the forefront of embracing and adopting sustainable practices, as it is deeply embedded in our corporate philosophy. Our business strategy seamlessly incorporates ESG-related targets and challenges into the decision-making processes, which enables us to plan mitigation strategies for material topics under the ESG pillars. 

We are committed to reducing our environmental footprint, by conserving energy, preserving water, and minimising waste. We are focusing on improving resource efficiency, responsible sourcing of materials, promoting circular economy through recycling and increasing the share of recycled materials in product development. We continuously strive to improve our product portfolio by delivering new-age eco-friendly products and solutions through sustainable innovations and deployment of advanced technologies.

Green energy accounts for 20% of our energy consumption and we are making additional investments in wind and solar projects. We contribute to circular economy as nearly three-fourth of the key raw material (lead and lead alloys) is recycled in nature. Exide has three lead and lead-alloy smelting facilities, operating under our subsidiary Chloride Metals Limited (CML). We source nearly 45% of our recycled lead from our own subsidiary, CML. Recognizing the significance of digital transformation, we have embraced technology breakthroughs and implemented digital solutions to improve process efficiency and resource optimisation. Exide has deployed electric vehicles for last-mile goods deliveries making its value chain greener and more sustainable. 

Our employees are our greatest assets, and we have always worked to create a progressive and safe work environment facilitating their growth and development. All our employees and workers are covered under accidental and health insurance. We uphold the highest health & safety standards and have obtained ISO 45001 certification to guarantee the wellbeing of employees and workers across all offices and production sites. 

With a deep sense of responsibility towards inclusive growth of the company, Corporate Social Responsibility (CSR) is rooted in the core strategy of the company to benefit local communities.  As a responsible corporate, we foster the development of local communities in the areas of health, education, environment, empowerment, and employability ensuring sustainable and long-term growth. 

We have strong Enterprise Risk Management (ERM) and Governance frameworks that are built on the values of transparency, accountability, and excellence in order to run the business in a responsible and ethical manner while safeguarding and protecting the interests of all stakeholders. We enhanced our procedures, systems, practices, and internal controls to reduce strategic, reputational, ESG, compliance, operational, and financial risks. Adopted frameworks for risk management and governance are in line with the company''s sustainability vision and business plan. 

With persistent and collective efforts towards sustainable development, a shared commitment is firmly ingrained in Exide''s business operations and among stakeholders for reducing environmental footprint, contributing to the welfare of the society, and running the business with integrity.","Mr. Subir Chakraborty, Managing Director & CEO (DIN: 00130864)"
372,L29199KA1985PLC006934,Suprajit Engineering Limited,Manufacturing,130352400000.0,"Our strategies, business model and operations are based on environment protection, employee safety and customer satisfaction.",Not Applicable,The message from our Managing Director& Group CEO has been included at the beginning of this report,"Implementation and oversight of the Business Respon- sibility Policies and the decision making on sustain- ability related issues is the responsibility of the Corpo- rate Social Responsibility (CSR) Committee of the Board of Directors, which comprises of following members as on March 31, 2024:
Mr. Kula Ajith Kumar Rai - Chairman, Mr. Bhagya Chandra Rao - Member, and Mrs. Supriya Rai – Member"
373,L99999GJ1962PLC001121,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,Manufacturing,126109137623.0,,Not Applicable,"Dear Stakeholders, This report reflects our unwavering commitment to sustainability and the enhancement of value for our stakeholders. We have been harnessing renewable energy sources and implementing sustainable practices across our operations and continuously endeavour to improvise our processes by use of cleaner fuels, reduced water contribution and implementation of various measures, to enhance operational efficiency and contribute to circular economy. The Company has a total installed capacity of 164.43 MW (152.8 MW Wind Power and 11.63 MW Solar Power), fulfilling around 40% of Company’s total Power requirement. The Company has been awarded with “Responsible Care” certification for its efforts in this direction. Safety culture is given paramount importance as the Company is meticulously working for enhancing the Company’s safety &amp; sustainability metrics. We firmly believe that human asset is essential for sustainable growth of the organisation and are dedicated to fostering a culture of inclusivity, diversity, and equality within our organization. The Company is continuously working towards providing performance-orientated work culture to align individual growth with that of the Company. Engagement with the communities in which we operate is vital to our mission. GSFC believes that as a responsible corporate citizen, we have always practiced environmental, social and Governance (ESG) principles while conducting its business activities and have taken up social cause under the theme of “Human Development Index (HDI)”. We believe that by driving innovation, fostering resilience, and embracing responsible practices, we aim to shape a future where GSFC not only thrives as a Company but also plays a pivotal role in creating a more sustainable and prosperous world for generations to come. Kamal Dayani, IAS Managing Director","Shri Kamal Dayani, Managing Director (DIN 05351774) under the guidance of the Board of Directors and its committees is responsible for implementation and oversight of the Business Responsibility policies"
374,L85110KA1951PLC000761,BOSCH LIMITED,Manufacturing,120632667443.0,"Our ambition: “By acting in an economically, environmentally, and socially responsible manner, we want to improve people’s quality of life and safeguard the livelihoods of present and future generations” is captured in the New Dimensions Sustainability 2025.
This can be accessed in the sustainability section forming part of this annual report.",Yes. The details of performance on our ESG goals are available in the sustainability section forming part of this annual report.,"At Bosch we are convinced that sustainability must be a non-negotiable part of doing business. Back in 2018, we summarized the focus areas of our sustainability management in a vision that describes six dimensions. Each of these is specified and continually enhanced by reference to two focus activities with clearly defined, medium term targets. Our sustainability activities consider entire value chain from material and goods purchasing to manufacturing operations at our sites to the use phase of products sold and right through to their end of life.
Sustainanalytics (global ratings agency) rates Bosch Limited at “negligible risk” as no. 2 out of 254 auto components companies, and at 29 out of 16075 companies in their global universe as on Apr 27, 2024.",The Managing Director is responsible for implementation and oversight of the Business Responsibility policy (ies).
375,L24234KA1978PLC003417,Biocon Limited,Manufacturing,109123000000.0,"1.	Diversity, Equity Inclusion and Belonging

•	Diversity target: At least 17.5% women in the workforce by 2025 at Biocon Limited

2.	Environmental Stewardship
Biocon Limited
•	25% reduction in scope 1 and scope 2 emissions by FY29 from baseline year FY20 
•	25% freshwater consumption reduction by FY29 from baseline year FY23 
•	100% circular waste by FY29 from baseline year FY23, includes zero waste to landfill by FY29
•	To plant 15,000 trees by FY29 
3.	Health and Safety
We strive to sustain a zero Lost Time Injury Frequency Rate (LTIFR)

4.	Access and Affordability
We have a commitment to make insulin treatment accessible and affordable for one in every five individuals worldwide who are insulin-dependent due to diabetes.","1.	Diversity, Equity Inclusion and Belonging
•	In FY24, we achieved our target and have 17.6% of women in our workforce at Biocon Limited

2.	Environmental Stewardship

Biocon Limited
•	12k tCO2e GHG emissions (scope 1 and scope 2) reduced against baseline year FY20
•	Recycled 78% of our water, up from 60% the previous year
•	83% of the waste generated is recycled 

Biocon Limited and Biocon Biologics

•	58% of the total power consumed in FY24 was sourced from renewable sources
•	18,765 tCO2e GHG emissions (scope 1 and scope 2) offset
•	156,014 metric tons of CO2 emissions avoided due to energy saving initiatives
•	100% of the wastewater generated via Company (India Operations) was recycled and reused in FY24.
•	78% of the waste generated is recycled 
•	Around 1000 saplings were planted at Yarendahalli lake and at our Biocon Park facility on World Environment day
3.	Health and Safety
Ensured 0 LTIFR at Biocon Limited

4.	Access and Affordability
Biocon Biologics reached out to 1,100+ patients through our various donation programs in low- and middle-income countries. In collaboration with Insulin for Life, a U.S.-based organization, we recently completed a donation of approximately 12,500 insulin glargine injection pens and 1,000 glargine vials. We collaborated with Action4Diabetes (A4D) to supply our insulin bGlargine at subsidized costs along with reusable pens and funds to procure accessories for 100 young people with Type 1 diabetes in Myanmar.

5.	Sustainability assessment frameworks

•	Dow Jones Sustainability Index (DJSI) score improved from 52 to 63
•	Biocon inducted in S&P Global’s Sustainability Yearbook for 2023
•	Biocon, including Biocon Biologics, EcoVadis scored increased from 66 to 70 and was rewarded with Silver Medal.","Chairperson’s Message 

Kiran Mazumdar-Shaw 
Executive Chairperson

The Multiplier Effect: Maximizing Value
Dear Shareholders,
Over the past 45 years, Biocon has strategically invested in multiple businesses, evolving into a diversified global biopharmaceutical enterprise that provides generic and biosimilar products, as well as research services, to drive health equity worldwide. This risk-balanced strategy has resulted in a ‘multiplier effect’ driving business expansion and unlocking value across segments. 

Biocon''s long-term investments in world-class research and manufacturing, coupled with a robust quality culture, have created an innovative and reliable global brand, committed to delivering effective, safe, and patient-centric healthcare that is timely, equitable, and efficient.

By advancing research, increasing manufacturing scale, and expanding commercial presence, Biocon is creating a ripple effect – a “multiplier” – that benefits both patients and the planet. 
The ‘Multiplier Effect’ in Action

We have historically capitalized on the interconnectedness of our businesses to draw on complementary capabilities, expand our reach, and deliver value to our shareholders. Building on the shared legacy of Biocon’s scientific excellence, our Generics, Biosimilars and Research Services businesses have emerged as uniquely differentiated world-class players in their respective domains. 

Biocon Biologics, which had embarked on a transformational journey with the acquisition of Viatris’ global biosimilars business in FY23, successfully completed the operational and organizational integration of the acquired business across 120 countries in FY24. Consolidation of the newly acquired business has multiplied our commercial reach. We leveraged our broader and deeper commercial footprint to grow our biosimilars business with Biocon Biologics surpassing the annual revenue milestone of USD 1 billion in FY24.

Our Generics business, which is focused on creating and capturing value through vertical integration, multiplied its future growth drivers with the approval of Liraglutide, a GLP-1 peptide. The approval from the Medicines and Healthcare Products Regulatory Agency (MHRA), U.K., for Liraglutide, a vertically integrated product, is the first approval for a generic version of this diabetes and weight management treatment in a major regulated market. 

Several years ago, Syngene embarked on a strategic journey to transform itself into a full-service partner for its clients, covering all aspects from discovery to development and manufacturing. While extending our leadership position in research services we expanded our development and manufacturing services to establish ourselves as a leading contract development and manufacturing organization (CDMO). This move leveraged our established track record in discovery, research, and development for both small and large molecules. Today, Syngene stands as a premier company with leading capabilities in biologics manufacturing, thereby addressing multiple requirements of the global pharmaceuticals industry encompassing discovery and development research.

Delivering Business Excellence

At Biocon Group, we are continually striving to refine and enhance our activities and processes with the aim of assuring the highest quality of products and services. We instituted the John Shaw Excellence Awards (JSEA) this year to evaluate, assess, calibrate, recognize, and reward strategic business units across the Group for achieving a level of excellence at par with internationally acclaimed awards such as the Deming Prize.
Championing Sustainability

By integrating ESG principles into our strategy and daily decision-making processes, we are seeking to ensure the holistic well-being of all our stakeholders and the wider ecosystem. As a responsible corporate citizen, we are contributing significantly to the overarching aim of sustainable development. In the 2023 S&P Corporate Sustainability Assessment, we improved our Global ESG Score to 63 from 52 the previous year, thus featuring on the Dow Jones Sustainability Emerging Markets Index for the third consecutive year. We also featured in the S&P Global Sustainability Yearbook 2024 for the second year in a row.

As a company we have chosen to use resources responsibly and cut gas emissions and waste to reduce our environmental impact. Biocon Limited has set itself ambitious targets for reducing our Scope 1 and Scope 2 emissions, lowering freshwater consumption, and ensuring 100% recycling of waste. I am happy to report that we made good progress towards these goals this year.

Management and Board Appointments

During the year, we appointed Peter Bains as Biocon Group CEO, who is responsible for capitalizing on the synergies between the three Biocon Group entities with the aim of maximizing the combined value for all stakeholders. Peter’s comprehensive understanding of the group, coupled with his extensive global leadership experience and successful track record across the biopharmaceutical sector will be a great value add in pursuing the group’s growth strategy. 

Rekha Mehrotra Menon and Nicholas Robert Haggar have joined Biocon''s Board as Independent Directors in FY24. Rekha, an industry leader in technology-driven innovation, previously chaired Accenture in India. Nicholas, with over 30 years of experience, has held key roles in pharmaceutical and healthcare enterprises.
Dividend
Biocon’s Board recommended a final dividend of Rs 0.50 per share at the rate of 10% of the face value of the stock for FY24.

Aiming for Sustainable Growth
Debt reduction and strengthening of the balance sheet are high on Biocon’s agenda. In FY24, we (Biocon Biologics) repaid USD 250 million of the long-term debt obtained by the Company to fund the acquisition in the biosimilars business. With this paydown, the net debt at Biocon has come down to xx.  
I would like to conclude by expressing my deep gratitude to all our shareholders for their continued trust and look forward to their support as we work together towards addressing patients’ needs and enabling health equity while driving business expansion and maximizing shareholder value.","The Business Responsibility (BR) policies are broadly managed by the Board of Directors, Chief Executive Officer and the concerned departmental head(s)."
376,L25111KL1972PLC002449,Apollo Tyres Limited,Manufacturing,104394243470.43,"-Committed to be Net Zero by 2050
-Reduce Scope 1 emission intensity by 25% in FY26 compared to FY20
-Reduce Scope 2 emission intensity by 35% in FY26 compared to FY20
-Source 30% of total power usage from Renewable Sources by FY26
-Improve water withdrawal intensity by 25% in FY26 compared to FY19
-Committed to use 40% of renewable and recycled material in all its products by 2030",,"Apollo Tyres continuously works towards achieving sustainability across its operations and value chain. The Company has identified Sustainability as one of the 5 key pillars for its Vision 2026. Our sustainability governance framework provides for both identification of key material issues, risks and opportunities of the organisation and strategies to address them. Our efforts are to minimize the environmental and social impacts of our business activities while creating value for our stakeholders. Further progress on ESG-related challenges, targets and achievements is available in the Annual Report FY24.","Name: Sunam Sarkar 
Designation:  Chief Business officer
Email: sunam.sarkar@apollotyres.com
Telephone No: +65 6804 6262
Address: Apollo Tyres Holdings (Singapore) Pte Ltd 9 Temasek Boulevard #42-01 Suntec Tower 2 Singapore 038989"
377,L18101DL1970PLC005197,SRF Limited,Manufacturing,102553547117.0,"Our values – Respect, Integrity, Non-discrimination, Excellence
& Wellbeing– ensure our commitment towards sustainability
across our plants and offices. In line with our identified material
topics, we have taken the following targets and commitments
• 30% electricity sourced from RE by 2030
• Improvement in water credit to debit ratio
• Moving towards an Injury Free Workplace
• Enhanced women participation across organization","We have set up an internal mechanism to regularly track
our targets and commitments as mentioned in (5). Yearly
performance of identified targets and commitments are updated
as part of our ESG disclosures. Refer ESG section for more details","We recognize that our ESG journey is a continuous endeavour,
and we are committed to consistently improving our own
benchmarks. With diligent efforts and proactive initiatives, we
are working towards achieving our targets and commitments.
Our ESG performance underscores our commitment to
effecting positive change while strengthening the resilience and
sustainability of our business.","We are guided by the Board of Directors comprising of industry
experts having diverse and rich experiences which enable and
facilitate effective decision-making and execution of sustainable
and long-term strategies. The Board reviews key ESG imperatives
and ensure ESG performance is aligned to our aspirations"
378,L74899DL1991PLC044843,Mankind Pharma Limited,Manufacturing,96238100000.0,"Environment
• Plastic Neutral by FY’24
• Hazardous Waste - 70% for co-processing and 30% for landfilling by 2027 (Base year FY’21)
• Implementation of Wild life Conservation plan for 2nos of Schedule-1 species in Sotanala area
• Carbon neutral by 2030 (Base year FY’21)
• 100% Renewable Power by 2030
• Reduce ground water intensity in Operations by 50% by 2030 (Base year FY’20)

Social
• Ensuring the wellbeing of our employees and partners 

Governance
• Implementation of effective stakeholder engagement strategy for collaboration to address key sustainability issues backed by Sustainability council.
• Highest standards of compliance and ethics backed by robust corporate governance","In alignment with our strategic objectives, the key performance targets are meticulously established, rigorously reviewed, and effectively implemented. This process ensures that our actions and initiatives are always in sync with our overarching goals. By maintaining a robust review mechanism, we strive to uphold our corporate ethos and contribute positively to our stakeholders and the wider community. This diligent approach underscores our commitment to excellence, responsibility, and sustainable growth.","Mankind Pharma Limited is steadfast in its dedication to fostering sustainable and responsible business practices through its comprehensive Environmental, Social, and Governance (ESG) agenda. With a focus on serving both the planet and people, the company is committed to generating value for all stakeholders.

Central to this commitment is the emphasis on strong corporate governance, where transparency and balance are recognized as fundamental values shaping interactions with stakeholders and guiding operational decisions. The company prioritizes open communication and accountability, ensuring that all stakeholders are well-informed and actively engaged. By adhering to robust governance protocols, Mankind Pharma aims to cultivate trust and confidence among stakeholders.

In pursuit of environmental sustainability, significant measures have been implemented to address waste and water management challenges, resulting in notable improvements in energy and water efficiency. The integration of Environment, Health, and Safety (EHS) practices into our growth strategy underscores our commitment to holistic sustainability.

Furthermore, initiatives to reduce energy consumption, such as equipment upgrades and the adoption of energy-efficient technologies, exemplify our proactive approach towards mitigating environmental impact. The exploration of alternative, lower-emission fuels and investments in renewable energy sources further signify our commitment to reducing reliance on fossil fuels and decreasing emissions.

To minimize waste and emissions, comprehensive measures are in place, including the implementation of co-processing across all sites, reduction of paper usage, and optimization of packaging. Technological advancements, such as the introduction of wet scrubbers and sophisticated sludge dewatering techniques, contribute to mitigating hazardous waste quantities. Additionally, collaborative efforts with suppliers to adopt sustainable practices in supply chain management demonstrate our commitment to reducing indirect emissions.

The Company extends its commitment beyond environmental stewardship to create a meaningful social impact. It actively engages with the communities it serves, striving to be a solution provider for pressing societal challenges. Mankind''s aim is to generate positive outcomes for the environment, society, and stakeholders alike, while consistently seeking opportunities for enhancement in every facet of its operations.

Mr. Satish Kumar Sharma (Whole Time Director)","P-1 “Corporate HR Head”
P-2 “Corporate Purchase Head”
P-3 “Corporate HR Head”
P-4 “Corporate HR, Secretarial & Investor Relation Department”
P-5 “Corporate HR Head”
P-6 “President Operations & Corporate EHS Head”
P-7 “Corporate HR Head”
P-8 “Corporate HR & Corporate EHS”
P-9 “Corporate HR & Corporate IT”"
